artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Travis Scott,MAFIA,08F16baYbciTva9P4BvpiI,72,0.855,0.492,0,-7.578,0,0.0483,0.0775,6.71E-06,0.111,0.385,109.975,240000,4
Adele,Chasing Pavements,56pHllZT7QOacB0bP56ofx,69,0.616,0.47,5,-6.092,0,0.0253,0.291,0,0.111,0.325,80.03,210507,4
JAY-Z,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,82,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,276920,4
Shouse,Love Tonight - Edit,6OufwUcCqo81guU2jAlDVP,79,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
Pearl Jam,Just Breathe,6i81qFkru6Kj1IEsB7KNp2,68,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42E-05,0.0823,0.283,107.819,215853,4
Jack Johnson,Better Together,4VywXu6umkIQ2OS0m1I79y,70,0.868,0.347,5,-9.529,1,0.0536,0.308,2.00E-05,0.11,0.659,110.059,207680,4
Kid Cudi,Rockstar Knights (with Trippie Redd),4J9SI7do4KOEsCexqEbjmR,58,0.625,0.682,6,-6.292,0,0.126,0.384,4.54E-06,0.337,0.384,178.052,231467,4
Kid Cudi,Tequila Shots,30KctD1WsHKTIYczXjip5a,73,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04E-05,0.527,0.22,90.494,193293,4
Trippie Redd,Rich MF (feat. Polo G & Lil Durk),5KQxun2WxwDMsV7HCN2ONK,2,0.756,0.698,6,-5.464,1,0.178,0.0849,0,0.221,0.66,77.497,247714,4
Kid Cudi,Sad People,4nuAslShoN77tq12fzwjUq,63,0.636,0.647,5,-6.971,0,0.0381,0.247,0.00123,0.113,0.416,158.073,176027,4
Jaymes Young,Happiest Year,5kcvBnt6DPX3AMEsCx1qDh,37,0.501,0.167,1,-14.061,1,0.0484,0.885,0,0.111,0.356,112.275,228443,3
Drake,TSU,4s7QLoImIwmPi9L6dq1nVW,72,0.568,0.56,9,-9.059,1,0.42,0.228,3.05E-06,0.39,0.246,130.019,308756,4
Drake,Race My Mind,2Q3jFbyE61mCjS3SkW4toJ,68,0.488,0.635,10,-7.19,1,0.26,0.179,8.16E-06,0.156,0.783,174.072,269884,4
Idris Elba,Girl With The Bat - Edit,52UIUntXXfQrB0FUMrDIO4,52,0.873,0.942,7,-5.763,1,0.0634,0.00175,0.524,0.0275,0.719,125.994,200357,4
Party Favor,Be Ok - Blanke Remix,6TylxA1MX5JMxRea5wDUam,24,0.511,0.762,1,-4.767,1,0.0716,0.039,0.000147,0.0591,0.172,153.935,240000,4
The Royal Concept,Goldrushed,5wb8v7okmh3i3CnFnaLWj4,17,0.58,0.883,7,-5.532,1,0.037,0.00161,3.88E-06,0.0976,0.4,102.942,227067,4
Tiësto,Lose You,7sFk2PA3NsrrSsGa4CM3rs,58,0.704,0.899,6,-5.61,0,0.178,0.189,2.43E-05,0.228,0.576,123.028,148329,4
Felix Jaehn,No Therapy,7tUTCcqkMCnC9qLqbQeI0T,60,0.773,0.608,3,-6.942,0,0.121,0.278,0,0.381,0.589,125.078,172909,4
Rod Wave,Escape,4QiHqvOVyIfsBFLjjctfHW,57,0.678,0.661,11,-10.323,1,0.0858,0.19,0,0.0743,0.334,156.021,162115,4
blackbear,alone in a room full of people,6D7Y1ifRZYfqaTvffJ2zGT,56,0.637,0.853,4,-4.014,1,0.0853,0.2,0,0.311,0.648,162.093,154814,4
Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,75,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,222374,4
SEBASTIAN PAUL,LUST DRUNK,28bBFB4xgt1IwWEM4R2pvN,52,0.418,0.635,5,-5.541,1,0.28,0.736,0.0634,0.114,0.455,148.645,219648,4
Moksi,Tidalwave,7wB5Ktf3MbsbNRgEDI5B80,53,0.755,0.819,0,-5.885,1,0.033,0.0138,0.0029,0.0783,0.487,121.972,168197,4
Kanye West,Real Friends,66Q3fAmSX5eHamgbKa9alP,65,0.441,0.744,6,-6.248,0,0.476,0.262,0.000382,0.138,0.124,81.396,251573,4
Petit Biscuit,Night Trouble,5LLtNp8qc3NaCIieZ2W4Dk,63,0.411,0.364,1,-15.335,1,0.0743,0.951,0.93,0.126,0.0685,95.967,391257,3
Moksi,Slow Burn,1AfA0K7BLxceH7PjzcZdZc,55,0.633,0.651,7,-6.814,0,0.0574,0.0632,0.00358,0.141,0.202,119.978,244303,4
Moksi,Fade Away,0ZySWu0DWvNiauygdVoZfG,32,0.674,0.721,5,-4.848,0,0.0847,0.00531,1.54E-06,0.112,0.634,121.939,179022,4
INZO,Overthinker,4K9xid96G3YmIvQZXN9SXg,63,0.472,0.605,8,-4.437,1,0.134,0.0311,0.0308,0.101,0.212,128.375,268000,1
Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,81,0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,0.638,80.511,123987,4
Pop Smoke,Bout A Million (feat. 42 Dugg & 21 Savage),4LaGu95Ui2s4vprSQYWUAZ,66,0.716,0.67,0,-6.995,0,0.101,0.526,0,0.13,0.411,145.043,203586,4
SEBASTIAN PAUL,TOO MUCH,5Y0szinCZZBUdJah5snGpt,43,0.469,0.409,1,-10.041,1,0.0815,0.241,0,0.114,0.153,136.277,274359,4
Ocie Elliott,"I Got You, Honey",6REM0HKD9Q1L4IBbFuTc7K,14,0.554,0.232,0,-16.078,1,0.0355,0.965,0.525,0.105,0.0772,149.867,161587,4
The Wombats,Greek Tragedy,1tTV7mRV9uB2Nr9VcwkuFX,60,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01E-06,0.21,0.452,93.24,209558,4
Russ,Private,4PDLvSojW752SsO9yxavlv,44,0.795,0.582,11,-4.752,0,0.236,0.117,0.000517,0.137,0.45,144.061,189777,4
Twenty One Pilots,Choker,732E6ibFkQR5lNIPEeiEnx,65,0.7,0.664,7,-8.211,1,0.0394,0.306,1.89E-05,0.249,0.585,142.009,223066,4
Russ,3:15 (Breathe),0dGqP4VickYjtIaB5VOt4H,73,0.451,0.627,8,-4.59,1,0.127,0.591,0.00958,0.118,0.77,74.69,184000,4
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,78,0.861,0.656,4,-7.867,0,0.425,0.104,0,0.0986,0.331,88.967,218210,4
J. Cole,i n t e r l u d e,08LwMWf5Tcfsd752EPzFV0,70,0.77,0.574,1,-5.525,1,0.106,0.0617,0,0.104,0.104,98.962,133022,3
Meek Mill,Blue Notes,7Gs3otHnZDq514kFHf0nx7,65,0.515,0.431,4,-8.251,1,0.257,0.665,0,0.147,0.184,141.392,227809,4
Milky Chance,Flashed Junk Mind,5mpLcXEsk3jjzLFGuNKk5I,62,0.839,0.84,11,-8.721,1,0.0474,0.389,0.0319,0.114,0.904,117.98,262000,4
Milky Chance,Stolen Dance,2jiPHbFX5XM8TjaTfYJ0eo,39,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,4
Young Stoner Life,Solid (feat. Drake),6rTInqW3YECMkQsBEHw4sd,76,0.887,0.485,11,-9.358,0,0.2,0.0392,0,0.141,0.328,125.987,215693,4
Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,79,0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939,139461,4
Sabrina Carpenter,Skin,03B2SfXuvDh1m9F4tqrX07,70,0.557,0.457,7,-5.372,1,0.0335,0.428,0,0.0567,0.328,105.918,177500,4
Olivia Rodrigo,drivers license,7lPN2DXiMsVn7XUKtOW1CS,30,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31E-05,0.105,0.132,143.874,242014,4
Olivia Rodrigo,deja vu,61KpQadow081I2AsbeLcsb,22,0.439,0.61,9,-7.236,1,0.116,0.593,1.07E-05,0.341,0.172,181.088,215508,4
Ashes To Amber,Arizona Thunder,3RObHiQHvuZCd8ZVRkbyAG,36,0.661,0.527,4,-10.627,1,0.29,0.708,4.87E-06,0.17,0.609,155.91,161531,3
Polo G,21,3JKgcAa7r07ocVWcV8bS0H,76,0.783,0.479,7,-10.646,1,0.541,0.149,0,0.101,0.533,176.027,163798,4
Luke Combs,Six Feet Apart,3aMUiKCIXJeurR5ppEMJZD,60,0.565,0.598,6,-5.894,1,0.0276,0.335,0,0.124,0.449,155.814,199068,4
Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,74,0.464,0.813,10,-6.185,1,0.0416,0.0153,0,0.254,0.515,75.977,222533,4
Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,77,0.551,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,193200,4
Luke Combs,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,76,0.538,0.863,1,-4.483,1,0.0481,0.0139,0,0.0874,0.637,77.001,186733,4
Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,78,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,232533,4
Zac Brown Band,Chicken Fried,3eBnEo9WL34ulBCZlLpUQO,12,0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,238147,4
Toby Keith,Beer For My Horses,7pWSdjUXBKksqggB49v0RE,50,0.721,0.843,10,-5.106,1,0.0486,0.302,0,0.0519,0.819,119.018,210827,4
Brooks & Dunn,Boot Scootin' Boogie,7Fq9RwQxSn3kW85PrDUf0M,69,0.656,0.817,11,-4.296,0,0.0435,0.22,0,0.304,0.862,130.448,198227,4
Blake Shelton,Boys 'Round Here (feat. Pistol Annies & Friends),39FwE8edwuyiaa4PrGBkP7,66,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35E-06,0.248,0.649,169.895,288760,4
Galantis,Peanut Butter Jelly,3aIhJDHxr1kgTSnutJxPTH,63,0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,203133,4
Lil Kleine,Drank & Drugs,4rHIGjDTXXL9Eudf3YF036,62,0.923,0.742,11,-5.047,0,0.0495,0.0494,1.79E-05,0.0829,0.784,120.038,145978,4
Morgan Wallen,7 Summers,0tbjiOUl4k492KPdWZS9sy,64,0.457,0.774,0,-5.201,1,0.0336,0.428,4.29E-05,0.119,0.59,203.863,210123,4
Coldplay,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,80,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,242373,4
Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,80,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4
Macklemore,Good Old Days (feat. Kesha),2Za1AlJNvksouPPWbXpR2X,70,0.712,0.51,8,-8.162,1,0.0633,0.446,2.46E-05,0.112,0.268,122.964,240507,4
Miley Cyrus,High,2LseyBkPJv7r7wCt2yMEgX,60,0.474,0.54,5,-6.862,1,0.035,0.00481,1.03E-05,0.299,0.239,72.995,196760,4
Danny Ocean,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,77,0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,205715,4
Future,PIE (feat. Chris Brown),5FsJ8AUxW1KBypdhFvbdkd,54,0.755,0.6,5,-6.431,0,0.309,0.144,0,0.117,0.652,155.982,211240,4
Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,70,0.755,0.615,4,-8.245,1,0.0454,0.00587,1.75E-06,0.109,0.039,105.955,215364,4
JAY-Z,Gotta Have It,5Pt83OUaK3K9C2if4C5JOk,67,0.74,0.574,4,-6.938,1,0.245,0.411,0,0.262,0.33,149.762,140747,4
Drake,Glow,28irpKCCK9nn9DZSik2zEx,55,0.688,0.384,9,-8.824,0,0.375,0.2,0,0.708,0.432,162.098,206120,4
Lil Xan,Betrayed - Remix,36JPhaE64VSjpVHta9p2EA,34,0.851,0.638,8,-5.936,0,0.241,0.228,0,0.135,0.448,123.998,197053,4
Tyla Yaweh,Tommy Lee (feat. Post Malone),5QZKcQDp0tCcvMdyqEciBV,68,0.457,0.621,10,-5.923,1,0.138,0.218,0,0.0944,0.634,85.359,224638,3
Drake,Time Flies,5H4mXWKcicuLKDn4Jy0sK7,73,0.864,0.477,10,-5.786,1,0.224,0.201,0,0.182,0.5,86.46,192932,4
iann dior,gone girl,3iH29NcCxYgI5shlkZrUoB,68,0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956,136568,4
Drake,Sacrifices,0xl1w2q4VLojeXp4JfazPL,61,0.903,0.439,8,-11.813,1,0.397,0.0407,0,0.138,0.532,139.112,307593,4
Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,76,0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,175954,4
Moksi,Gipsy,7mA03cPnG3UkLgf1ed87fI,56,0.671,0.685,2,-7.893,1,0.0347,0.0116,0.336,0.297,0.0802,123.948,268077,4
Drake,Lemon Pepper Freestyle (feat. Rick Ross),4FRW5Nza1Ym91BGV4nFWXI,71,0.77,0.637,1,-5.53,1,0.345,0.103,0,0.171,0.431,94.966,383037,4
Lil Tjay,Calling My Phone,5Kskr9LcNYa0tpt5f0ZEJx,36,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35E-06,0.135,0.202,104.949,205458,4
SEBASTIAN PAUL,TROJAN HORSE,1cQCdozRmaErXowT6iDQML,63,0.651,0.726,8,-7.583,1,0.312,0.576,0.0152,0.272,0.657,89.305,266394,4
Russ,Alone,3p0Y1C5jhaqyKW7d9oskXA,53,0.537,0.528,11,-7.666,0,0.208,0.0874,0,0.0855,0.124,96.931,178773,4
Lane 8,No Captain,598hoZZq4JR6r35UOVHxiv,0,0.584,0.532,9,-11.357,1,0.0381,0.153,0.459,0.109,0.0455,120.005,316000,3
Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,81,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,213400,4
James Ivy,Staring Contest,7idBzgbgDjEhxf6PdX741o,35,0.438,0.879,2,-4.755,1,0.0427,0.00191,0.000355,0.17,0.686,159.957,256594,4
COIN,Boyfriend,15jIpgBlSbxsPVsKPNYkNp,56,0.572,0.916,0,-4.83,1,0.0576,0.016,9.68E-06,0.208,0.464,150.088,179013,4
SAINt JHN,Monica Lewinsky (feat. A Boogie Wit da Hoodie),4hTErxf8ZqFNGH0hZqEoAI,64,0.828,0.521,10,-5.583,1,0.137,0.858,0,0.13,0.369,106.009,200475,4
6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,73,0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,240342,4
Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,81,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,157606,4
Pop Smoke,Imperfections (Interlude),42er1na9BHF1ERol51wg8M,67,0.774,0.513,7,-5.024,1,0.0778,0.907,0,0.11,0.324,91.03,108132,4
Pop Smoke,Enjoy Yourself (feat. Burna Boy) - Remix,6QzkbRRLWTEcFE0NyOX1Dt,59,0.773,0.688,11,-6.935,0,0.146,0.454,0,0.214,0.441,96.955,197938,4
Still Woozy,Habit,4BsLwvaJOTOHDNg7xMpvrL,66,0.767,0.392,1,-11.996,1,0.0945,0.154,0.000398,0.108,0.48,125.017,153872,4
Drake,Pain 1993 (with Playboi Carti),6Kj17Afjo1OKJYpf5VzCeo,66,0.825,0.373,5,-5.532,0,0.108,0.163,0,0.368,0.12,77.271,149078,4
Diplo,On My Mind,5lXY6PTuWXOludKy4zDQwM,63,0.771,0.731,7,-6.574,1,0.0409,0.00165,0.633,0.217,0.635,123.026,189268,4
SAM LEX,Stronger,02XKHzdvkSj04oYaiM1uYy,42,0.843,0.518,2,-6.853,0,0.0701,0.209,0,0.0818,0.367,130.073,169911,4
Kazi,Going Thru The Motions,3EoyxRlxifOsjtiv5Zw9FM,39,0.781,0.774,4,-5.322,0,0.0661,0.324,0,0.124,0.381,76,123158,4
Jhené Aiko,While We're Young,4mL59LVbKgOpEACxraGYdr,70,0.649,0.791,2,-6.013,1,0.193,0.104,1.97E-06,0.108,0.811,128.023,236160,4
Drake,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,78,0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,220488,4
Dom Dolla,Take It,14fIlfcmFPlj4V2IazeJ25,63,0.851,0.742,0,-6.126,1,0.0377,0.0259,0.256,0.111,0.236,123.033,234440,4
Jimi Somewhere,The World,4Te5Lm9Ej1rqZRNSS6W96F,12,0.48,0.435,8,-10.28,1,0.0392,0.195,0.000235,0.0929,0.116,120.093,249380,4
emawk,someone - Mudchute Remix,5rPLXrpUm9Yc1pjFDsgQv3,34,0.703,0.596,11,-7.865,0,0.0454,0.242,0.0268,0.331,0.348,133.929,183134,4
Verzache,Talk,3oWRlVyOfJwk7E1QQlLe64,45,0.852,0.344,2,-11.13,1,0.223,0.718,0.00136,0.0487,0.354,74.987,243200,4
Bad Bunny,DÁKITI,47EiUVwUp4C9fGccaPuUCS,81,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,205090,4
Lane 8,No Captain - Dirty South Remix,5w4guYAuAwXFLEqs0E2vkn,40,0.626,0.755,6,-10.491,0,0.0337,0.14,0.386,0.0938,0.372,122.008,347213,4
The Backseat Lovers,Kilby Girl,1170VohRSx6GwE6QDCHPPH,77,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,282206,4
Claud,Cuff Your Jeans,0q9v0aM8nBBF045S4lUMJE,0,0.668,0.759,2,-6.15,1,0.028,0.0144,0.111,0.189,0.961,113.013,175107,4
Sal Houdini,I Keep Falling,19khIlHUJY5nEsS1aFIdlQ,44,0.493,0.481,6,-10.755,1,0.15,0.634,0,0.101,0.457,121.85,253667,4
Khary,2,79nmz3sTog69GJWtBQUzWH,42,0.538,0.446,7,-10.241,0,0.109,0.292,2.58E-06,0.132,0.216,148.09,236757,4
Radiohead,Weird Fishes/ Arpeggi,4wajJ1o7jWIg62YqpkHC7S,68,0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,318187,4
The Kid LAROI,SO DONE,3qgPpwtuRu5oP8EtFSj8HE,65,0.719,0.598,9,-6.254,1,0.077,0.232,0,0.115,0.303,142.592,126521,4
Louis The Child,Love Is Alive,1hSuulO4BKSmYe0aSWROPM,50,0.676,0.5,8,-6.878,1,0.0412,0.701,0,0.596,0.915,97.863,170611,4
XXXTENTACION,Ex Bitch,40KuvsFD0zpUFuCcmt5Xm0,72,0.835,0.462,7,-6.227,1,0.155,0.513,0,0.0875,0.702,78.99,121672,4
Sabrina Claudio,Don't Let Me Down - Sabrina Claudio vs. Devault Remix,37py6z4ullszVUW8hnofBQ,51,0.648,0.651,1,-8.92,1,0.0995,0.298,0.0262,0.252,0.232,107.989,245000,4
Odd Mob,Intrinsic,4ZFseyLstY6ZrXBzlXmuR0,46,0.834,0.613,11,-3.987,0,0.276,0.00849,6.61E-05,0.171,0.378,124.032,220645,4
Carnage,"Wait For Me (feat. G-Eazy, Wiz Khalifa & Prinze George)",6Rz7TXNHJpsyUs0Jcls38b,47,0.562,0.442,6,-7.761,0,0.155,0.132,2.62E-05,0.124,0.127,139.805,224981,4
Stunna June,No Thotty,5PBai4MoTawSYKHPxShVNS,22,0.741,0.802,0,-6.832,1,0.158,0.204,0,0.0294,0.797,93.004,231456,4
Juice WRLD,Titanic,1YM6c2sxbf2Jacl9IFgn4I,67,0.567,0.545,1,-6.668,0,0.0448,0.168,0,0.112,0.234,174.146,176650,4
Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,79,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621,4
Clara Mae,I Forgot - MOTi Remix,1z9FsMcadBf6qRKQv51RZ2,33,0.448,0.891,6,-3.602,1,0.13,0.0389,1.32E-05,0.539,0.317,121.87,184000,4
MEDUZA,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,79,0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114,167903,4
ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,46,0.562,0.811,2,-2.92,1,0.0524,0.00522,0,0.11,0.493,129.971,247385,4
Lil Uzi Vert,Myron,56uXDJRCuoS7abX3SkzHKQ,73,0.771,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,224955,4
Jack Harlow,Creme,3DR7shAbkNyqgZjYnHZLh2,62,0.857,0.477,11,-8.547,0,0.21,0.275,7.58E-05,0.14,0.589,92.049,156531,4
Flume,This Song Is Not About A Girl,40H5MGB07FCEmrgHBlmLDU,56,0.732,0.668,2,-6.978,0,0.126,0.143,0.207,0.176,0.598,140.004,254038,4
The Kid LAROI,FEEL SOMETHING (feat. Marshmello),1yP6g2Ka4CisR3i2cuIcjK,67,0.523,0.609,1,-7.802,1,0.191,0.059,0,0.14,0.374,154.051,139041,4
Boston Bun,Missing You,4EeeRPXUAUQHkBxu3g1LxT,58,0.675,0.811,0,-6.966,0,0.0629,0.00301,0.0413,0.126,0.271,126.023,207265,4
Lane 8,The Rope (feat. POLIÇA),1rIoZ8H3v3InBt8YbMBapx,54,0.711,0.489,7,-11.962,1,0.0375,0.0902,0.38,0.133,0.0514,122.002,295082,4
ZHU,My Life,2NDZ6i6UfOUSKgFiTQKbnv,55,0.744,0.562,0,-7.89,0,0.0378,0.227,0.0898,0.103,0.161,109.981,294351,4
Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,74,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,178994,4
Aaron May,Let Go,1BBjIZ70D8eDy1g1xp3J7g,0,0.871,0.503,9,-8.34,0,0.0603,0.045,0,0.115,0.688,110.019,176532,4
Sonder,What You Heard,3a3dQOO19moXPeTt2PomoT,70,0.429,0.371,2,-9.017,0,0.0327,0.546,5.71E-06,0.104,0.135,137.134,238242,4
"Tyler, The Creator","2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",6Xw3iWrQKgArwlRhVuU9CK,61,0.352,0.693,10,-7.412,0,0.361,0.334,6.21E-05,0.611,0.348,88.855,409779,4
Brent Faiyaz,Dead Man Walking,5VlTQnZO89Ioku8ssdbqJk,75,0.505,0.267,9,-13.763,0,0.05,0.279,0,0.096,0.439,143.929,247080,4
A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK,77,0.721,0.707,6,-6.364,1,0.0595,0.181,3.68E-06,0.143,0.743,125.005,158206,4
Brent Faiyaz,Let Me Know,0dJhXJKZTpiaxTUc7uItIN,62,0.743,0.548,6,-6.545,0,0.0947,0.175,0.00018,0.088,0.558,85.017,215058,4
Kid Cudi,Marijuana,2GtaNlidzvK3hY78kCdsHa,61,0.673,0.403,8,-9.809,0,0.0273,0.829,0.829,0.272,0.54,140.986,260200,4
A$AP Ferg,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",5oady7OSE7dH7LHiqmb3Cr,74,0.737,0.597,7,-7.333,1,0.119,0.292,0,0.13,0.449,92.049,222987,4
Mac Miller,Kool Aid and Frozen Pizza,3VmrLy4WZLHDgTXENCIz2p,55,0.724,0.765,1,-7.06,0,0.263,0.198,0,0.23,0.702,89.991,157738,4
Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2,73,0.516,0.546,5,-9.105,1,0.249,0.814,4.50E-06,0.0995,0.515,78.267,271733,4
