,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27,The Chords,Sh-Boom (Life Could Be A Dream),61hJR9hOxwSsHroSPfQ0bo,49,0.595,0.495,5,-8.211,1,0.0449,0.87,0.0,0.196,0.802,136.835,144748,4
28,Dexys Midnight Runners,Geno - 2000 Remaster,7gb626DDDHoiuVAGZEnlJk,51,0.481,0.6,6,-8.722,1,0.0801,0.688,0.00633,0.963,0.818,124.637,207227,4
29,Soft Cell,Tainted Love,0cGG2EouYCEEC3xfa0tDFV,74,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,153800,4
30,The Monkees,I'm a Believer - 2006 Remaster,3G7tRC24Uh09Hmp1KZ7LQ2,71,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,167373,4
31,Blondie,One Way Or Another,59CLe8stbcx4XYBWdsfbwK,59,0.442,0.922,2,-5.086,1,0.0655,0.0532,3.86e-06,0.0768,0.855,162.272,217364,4
32,The Monkees,Daydream Believer,7uEcCGtM1FBBGIhPozhJjv,67,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,4
33,Blondie,Heart Of Glass - Special Mix,0a4agFmqHXxcZl1nho1BxM,67,0.694,0.577,4,-14.63,1,0.0308,0.015,0.00836,0.0853,0.845,114.478,275733,4
34,Dexys Midnight Runners,Come On Eileen,0EMmVUYs9ZZRHtlADB88uz,0,0.45,0.658,2,-7.064,1,0.0472,0.648,3.14e-06,0.264,0.781,106.799,287307,4
35,Nathaniel Rateliff & The Night Sweats,S.O.B.,1hWQvA6oGVJ2mAVsZ59AaV,0,0.699,0.579,1,-6.504,1,0.0416,0.267,0.00602,0.452,0.128,109.948,247613,4
36,CAKE,The Distance,0fsz7tJ7UKXT9hliLfO7aE,56,0.456,0.752,11,-8.121,0,0.09,0.0095,0.00145,0.0573,0.897,183.569,179600,4
37,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,64,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,285373,4
38,The Trammps,Disco Inferno - Single Edit,22ff60cZy4APp7bzESHLR8,62,0.763,0.819,10,-4.78,1,0.036,0.0641,0.123,0.235,0.911,129.288,191533,4
39,The Chordettes,Mister Sandman,00e59ZgjHI2GwsiY3oXayw,34,0.615,0.407,9,-8.982,1,0.0461,0.824,0.0,0.119,0.55,108.56,144039,4
40,CHIC,Good Times,0G3fbPbE1vGeABDEZF0jeG,63,0.87,0.657,2,-7.32,1,0.0522,0.149,0.0102,0.053,0.893,110.596,495400,4
41,Paul Simon,You're the One,0NlYBIdX1wt6ibV3d1O4fV,33,0.798,0.577,5,-11.671,0,0.0616,0.578,0.0572,0.14,0.611,130.028,267747,4
42,Paul Simon,Kodachrome,3f0U5NaD1bCk8nmKpn2ZJY,61,0.592,0.705,1,-10.276,0,0.0287,0.0291,1.97e-05,0.0456,0.902,135.754,215400,4
43,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",0iOZM63lendWRTTeKhZBSC,72,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,244027,4
44,Paul Simon,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,67,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,217347,4
45,Raul Seixas,Ouro De Tolo,1j5i8qd1PkSQAGM5zyonJC,54,0.366,0.549,7,-8.914,1,0.0906,0.456,0.0,0.151,0.826,202.22,172093,4
46,Nirvana,Breed,5drcC8MOaSDONgXJbWbMJp,35,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,184040,4
47,Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r,81,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4
48,Mild High Club,Windowpane,0SfIHS5x1gOCVVvnYFbw26,52,0.507,0.722,1,-8.164,1,0.0239,9.91e-06,0.0483,0.132,0.303,88.998,237301,4
49,The Strokes,Machu Picchu,6mVD1SfTvlFAPVi7txFL5H,61,0.695,0.817,1,-5.294,1,0.0659,0.0132,0.097,0.0601,0.874,105.014,209627,4
50,Thundercat,Them Changes,7CH99b2i1TXS5P8UUyWtnM,69,0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,188454,4
51,alt-J,Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,70,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,227080,4
52,Kurt Vile,Wakin on a Pretty Day,3cSlU4ZH4wzb5pM7wI1k3f,0,0.379,0.782,11,-8.163,1,0.0358,0.0472,0.748,0.265,0.549,101.698,570733,4
53,Vampire Weekend,A-Punk,1595LW73XBxkRk2ciQOHfr,2,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993,137760,4
54,Empire of the Sun,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,76,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,198440,4
55,Peter Bjorn and John,Young Folks,6M6UoxIPn4NOWW0x7JPRfv,2,0.701,0.815,0,-5.995,1,0.0381,0.0174,0.000627,0.0969,0.671,138.142,279027,4
56,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),4bEcoz1OcfMgUbp2ft8ieQ,72,0.48,0.61,0,-7.042,1,0.305,0.0456,0.0,0.313,0.297,90.034,255653,4
57,System Of A Down,P.L.U.C.K.,5ZjfvGPEW7AZ00QZR2XQBJ,48,0.267,0.931,2,-4.087,1,0.305,0.00274,8.34e-05,0.316,0.117,159.759,217133,4
58,System Of A Down,DDevil,1Cu3MCxugh9oia9betnm8i,49,0.335,0.975,1,-3.749,1,0.344,0.000222,0.391,0.142,0.702,199.87,102667,4
59,System Of A Down,Spiders,4vAHXnJ5YWLq5hbIVzZS1h,64,0.46,0.54,5,-5.132,1,0.0381,0.0324,0.0168,0.326,0.0506,137.855,215440,4
60,Death Grips,I've Seen Footage,7nCONy10IHp7XD3oYZ0lcx,56,0.603,0.944,11,-3.626,0,0.347,0.0481,0.0,0.342,0.418,130.035,202853,4
61,Mötley Crüe,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,41,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,282653,4
62,CKY,96 Quite Bitter Beings,7AimHQrOUoUTYbVX87D3Zl,61,0.458,0.779,3,-8.312,0,0.0486,0.00184,4.28e-05,0.313,0.729,99.093,201920,4
63,Drowning Pool,Bodies,7CpbhqKUedOIrcvc94p60Y,72,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4
64,Van Halen,Hot for Teacher - 2015 Remaster,6QDbGdbJ57Mtkflsg42WV5,66,0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,282747,4
65,Ratatat,Loud Pipes,3qkFIjYRInFasy2jeDZPgm,55,0.718,0.703,7,-7.16,0,0.0382,0.108,0.817,0.208,0.849,87.974,226533,4
66,Supercombo,Piloto Automático,35689kbAwieHK4YNmwEisS,0,0.617,0.697,6,-4.932,1,0.0352,0.263,0.0,0.097,0.519,131.981,196690,4
67,RJD2,Ghostwriter,5Nn2Dj7OQsGL6pgQ9iIzPp,57,0.747,0.68,1,-6.187,1,0.0346,0.0107,0.803,0.0964,0.594,93.804,317933,4
68,Legião Urbana,Índios,4RLp0EpcPdMHHoHmYIMWGH,51,0.564,0.499,0,-12.797,1,0.031,0.0764,0.189,0.306,0.68,147.543,257933,4
69,Os Paralamas Do Sucesso,Lourinha Bombril,3eUOVnvVw9ntGUqJmHKF1J,43,0.615,0.907,7,-9.234,1,0.042,0.0194,5.59e-05,0.279,0.8,168.459,158933,4
70,Legião Urbana,Que Pais É Este,1bqRtNOcT1QiV1j87IoATA,55,0.436,0.711,0,-12.769,1,0.0348,2.16e-05,0.142,0.0912,0.386,145.581,178733,4
71,Legião Urbana,Faroeste Caboclo,6ttKOudrrD5yjt4saUjhNa,57,0.43,0.549,7,-12.956,1,0.0629,0.0425,2e-05,0.252,0.444,89.748,547000,4
72,Legião Urbana,Quase Sem Querer,2Pr6qNmiOxTdo8B6bs8x8x,61,0.598,0.65,7,-14.281,1,0.0402,0.019,0.0482,0.0775,0.595,90.673,280467,4
73,Finger Eleven,Slow Chemical,2h5Kce0Vt3PWgMYkYuUL3E,55,0.493,0.885,1,-4.531,1,0.0479,0.00545,0.0,0.111,0.496,81.781,198360,4
74,Ozzy Osbourne,Mr. Crowley,5XfWzGa5zuz88IOYbWNTMa,0,0.287,0.757,2,-6.482,0,0.0591,0.204,0.000294,0.359,0.357,108.554,302640,4
75,Fall Out Boy,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,76,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093,4
76,Alter Bridge,Metalingus,3UULkHdmLDqBDPmBYltoRE,64,0.496,0.981,8,-3.268,1,0.108,9.33e-06,0.0,0.0958,0.163,109.905,259960,4
77,Courtney Barnett,Pedestrian at Best,7gsn3NxWLA0s0g9TmQlMri,45,0.479,0.854,11,-6.101,1,0.0405,4.61e-06,5.72e-05,0.372,0.535,136.067,230560,4
78,Sonic Youth,Sugar Kane,6q03mlzKsM1m3TLpi6T6Cw,51,0.345,0.913,7,-5.346,1,0.0471,6.46e-05,0.708,0.0756,0.357,134.965,357693,4
79,Unknown Mortal Orchestra,Necessary Evil,4dhARBZ8YLvm8oRDnCIeXr,0,0.828,0.724,9,-7.217,1,0.113,0.045,0.0618,0.132,0.694,96.2,317800,4
80,Sonic Youth,Superstar,5Ext9ObPEi7wIcv5AiQWJy,58,0.317,0.498,5,-9.137,0,0.0315,0.0515,0.306,0.121,0.141,84.563,246000,4
81,Kurt Vile,Pretty Pimpin,47cNDW1xyM03mT2kseO41a,60,0.566,0.663,8,-9.068,1,0.0278,0.0945,0.294,0.0915,0.762,91.108,298760,4
82,Kaiser Chiefs,Ruby,0VhhaYztcRWc7PEjJCjr1g,61,0.443,0.934,5,-3.398,0,0.0501,0.00604,6.66e-06,0.0779,0.401,93.43,202800,4
83,The Fratellis,Whistle For The Choir,3jp7Ryj1sX3riA7NQaVlLd,50,0.599,0.691,4,-4.571,1,0.0301,0.0489,0.0,0.0835,0.729,131.578,215853,4
84,The Offspring,"You're Gonna Go Far, Kid",6TfBA04WJ3X1d1wXhaCFVT,77,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,177827,4
85,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,82,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4
86,Incubus,Drive,7nnWIPM5hwE3DaUBkvOIpy,72,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4
87,Evanescence,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,78,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
88,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h,80,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4
89,The Hives,Hate To Say I Told You So,20j7B6mL9gnNvG3ic6Vwh5,66,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,200693,4
90,The Raconteurs,"Steady, As She Goes",19iqWNzp5LwEdvntpEK8MP,55,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,215267,4
91,Alien Ant Farm,Smooth Criminal,5z6xHjCZr7a7AIcy8sPBKy,74,0.653,0.964,9,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267,4
92,Paramore,crushcrushcrush,3VA4sjTMSTTF02hFGmlpJh,63,0.631,0.793,1,-4.086,0,0.0468,0.000218,5.65e-05,0.0976,0.648,136.96,189373,4
93,The Black Keys,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,67,0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,224333,4
94,Fatboy Slim,The Rockafeller Skank,7eWYXAP87TFfF7fn2LEL1b,0,0.666,0.992,7,-6.714,1,0.255,0.0121,0.00422,0.362,0.072,152.623,413880,4
95,Fatboy Slim,Praise You,3yGy1JYz3zQKlxSgjgpQqX,50,0.602,0.893,1,-8.641,1,0.0483,0.0957,0.27,0.171,0.528,109.716,323240,4
96,Blur,Coffee & TV,5eSllZgRWCIJsDTAqFRwQw,61,0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604,358773,4
97,Blur,Girls & Boys,5CeL9C3bsoe4yzYS1Qz8cw,65,0.693,0.875,7,-8.354,0,0.0315,0.00986,0.0,0.0601,0.899,120.048,259387,4
98,Daft Punk,Something About Us,1NeLwFETswx8Fzxl2AFl91,67,0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,232667,4
99,Kodak Black,Heart Mind,2OPxM2L3KtuehqY24vTMGs,71,0.921,0.641,1,-6.491,1,0.166,0.0274,0.0,0.0645,0.828,144.986,203840,4
100,MGMT,When You Die,3td69vL9Py7Ai9wfXYnvji,65,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886,263880,4
101,The Black Keys,Little Black Submarines,1PXsUXSM3LF2XNSkmIldPb,63,0.365,0.466,2,-7.514,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,251267,4
102,The Shins,New Slang,1wAqhAF1dynDjMy7m5CSSE,54,0.669,0.388,0,-11.547,1,0.0306,0.605,0.144,0.0905,0.645,130.016,231173,4
103,Lowell,Palm Trees,7JEzvkKvp7McI192wWnd8L,0,0.543,0.628,0,-7.261,0,0.0331,0.441,0.0724,0.0976,0.281,129.907,269866,4
104,Vampire Weekend,Worship You,5y02IcERVgEUItFLeeZDz6,0,0.474,0.919,11,-5.966,1,0.0779,0.00119,1.82e-06,0.314,0.303,149.055,201240,4
105,Vance Joy,Mess Is Mine,7BVwi9cIzSc6tpyxsp47vJ,62,0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,223640,1
106,The Royal Concept,Goldrushed,49Iyikt59PD6VtmNDqg7e8,34,0.58,0.889,7,-5.524,1,0.0367,0.00162,3.03e-06,0.0982,0.408,102.949,227080,4
107,Madeon,Finale (feat. Nicholas Petricca),0DanGj9TtgZIjJnHdTbW9v,46,0.42,0.863,7,-3.135,0,0.0473,0.00655,1.39e-05,0.147,0.172,92.131,205200,4
108,Crystal Fighters,Love Natural,6wpx4u1PeQlXEvZMPQ49sU,40,0.651,0.794,11,-6.196,1,0.0499,0.0329,0.0,0.319,0.625,133.086,199520,4
109,Ty Segall,Goodbye Bread,64eEA41fT8fejJDUXZdG48,32,0.293,0.386,2,-7.851,1,0.0327,0.000323,0.308,0.0993,0.369,125.537,204733,4
110,Ty Segall,Orange Color Queen,1dwOGpLiZxi519AXLsIkTa,36,0.402,0.373,10,-11.233,1,0.0313,0.504,0.0,0.121,0.296,77.17,184627,4
111,Parquet Courts,Before the Water Gets Too High,5wpBEy8gYVQmb5VArtayfp,0,0.494,0.786,0,-4.438,1,0.0327,0.0724,0.129,0.349,0.573,150.025,245400,4
112,Ty Segall,Tall Man Skinny Lady,0nIAP2jd3wybkJySEMEoAG,39,0.437,0.917,1,-8.499,1,0.0582,7.35e-05,0.285,0.376,0.8,111.957,242013,4
113,Ty Segall,Girlfriend,5vEE1d5gkv3pgfZyppLeX8,40,0.224,0.925,11,-1.71,0,0.0834,0.000596,1.35e-06,0.0663,0.378,138.022,132760,4
114,Ty Segall,My Lady's On Fire,5EbTamOuKNYlEsOUGc51kE,52,0.319,0.496,3,-9.113,1,0.0333,0.176,0.000655,0.107,0.321,82.795,232387,4
115,Post Animal,When I Get Home,5azJUob8ahbXB3M9YFwTpd,0,0.245,0.773,0,-5.985,1,0.0525,0.0665,0.00046,0.358,0.464,148.134,323200,4
116,Elton John,Bennie And The Jets - Remastered 2014,5Wj1rJnCLpMHdLaxsFtJLs,71,0.665,0.673,0,-7.95,1,0.0493,0.259,7.62e-06,0.497,0.779,132.642,322549,4
117,Bob Dylan,Blowin' in the Wind,18GiV1BaXzPVYpp9rmOg0E,66,0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,4
118,Bob Dylan,The Times They Are A-Changin',52vA3CYKZqZVdQnzRrdZt6,64,0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,192053,3
119,Bob Dylan,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,68,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,369600,4
120,Bob Dylan,Hurricane,1lqMLr9Wj7SM2F9AikGcxN,65,0.509,0.827,0,-7.715,1,0.0782,0.0409,0.0,0.12,0.743,135.601,512733,4
121,Bob Dylan,"Don't Think Twice, It's All Right",2WOjLF83vqjit2Zh4B69V3,62,0.6,0.243,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,217400,4
122,The Rolling Stones,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,65,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,448720,4
123,Simon & Garfunkel,America,6dfhF1BDGmhM69fnCb6wSC,61,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453,215293,3
124,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,88,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
125,Elton John,Tiny Dancer,2TVxnKdb3tqe1nhQWwwZCO,75,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093,4
126,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,79,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
127,Paul McCartney,Maybe I’m Amazed - Remastered 2011,1Qa0Y05al633fG8f9Peytc,65,0.471,0.494,7,-10.407,1,0.0312,0.387,0.0944,0.617,0.373,79.255,229827,4
128,Wings,Band On The Run - Remastered 2010,1H4idkmruFoJBg1DvUv2tY,69,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027,4
129,Seals and Crofts,Summer Breeze,3B0ms7Xlxl16tRztKHpcu9,61,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4
130,Stealers Wheel,Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,74,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,208947,4
131,Dropkick Murphys,I'm Shipping Up To Boston,7rSERmjAT38lC5QhJ8hnQc,68,0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,153600,4
132,"Tyler, The Creator",Glitter,0qtK3XwbuG153dmwB8iepL,69,0.449,0.434,1,-11.777,1,0.243,0.306,2.76e-06,0.633,0.371,78.57,224893,5
133,Car Seat Headrest,Vincent,5jeDAq40nB1ZCTqZAZIlm6,0,0.397,0.61,9,-7.836,1,0.0437,0.35,0.0266,0.11,0.0549,147.838,465027,4
134,The Olivia Tremor Control,Jumping Fences,6Y9WuYN6OfMIzKeEgx6El5,0,0.536,0.821,10,-8.95,1,0.0385,0.00344,0.00897,0.307,0.688,128.132,112067,4
135,Rita Lee,Amor e Sexo,333v4s9EybUEFOY6ComIC2,57,0.641,0.37,7,-10.049,1,0.0279,0.0646,0.0,0.298,0.176,129.843,218667,4
136,Toquinho,Aquarela,5iPTYBZyOEleyWkE7NTYCc,32,0.566,0.406,7,-14.483,1,0.0332,0.577,5.77e-06,0.0988,0.712,152.771,256627,4
137,Tribalistas,Velha Infancia - 2004 Digital Remaster;,3KYlOzxN5xO7eEauO1VF06,1,0.361,0.596,6,-8.152,0,0.0375,0.493,0.000138,0.162,0.574,84.847,250453,3
138,Grizzly Bear,Foreground,2MTQDSB9XLD1ejc6tAMQfv,42,0.469,0.224,11,-13.732,0,0.0331,0.938,0.112,0.137,0.0848,78.411,215373,4
139,Grizzly Bear,I Live With You,66HcbTLAaBgqHsin2IUWws,30,0.3,0.431,6,-8.342,0,0.0349,0.707,0.00231,0.0896,0.0994,125.965,297507,4
140,Grizzly Bear,While You Wait For The Others,6ISgf39hqL5wImQpRrLcCr,41,0.551,0.463,6,-7.642,0,0.0387,0.527,0.00145,0.101,0.328,80.44,269707,4
141,Grizzly Bear,Hold Still,2sz9MuXW6MhhMbWRb8V8dD,28,0.352,0.174,9,-13.889,0,0.033,0.961,0.034,0.0913,0.149,126.558,144667,4
142,Grizzly Bear,About Face,66zSeZQdUUI6BKA1yDmqc9,31,0.614,0.39,11,-13.199,1,0.0376,0.241,0.565,0.095,0.3,152.064,201920,3
143,Grizzly Bear,"Ready, Able",5cf1ZfI16kHp3S1ySpQ36G,51,0.432,0.458,0,-9.723,1,0.0399,0.23,0.719,0.111,0.232,152.572,257213,3
144,Grizzly Bear,Cheerleader,1EiNusATPoJnAcOkVqDKiH,35,0.668,0.393,6,-11.19,1,0.0311,0.398,0.849,0.613,0.568,96.395,294467,4
145,Grizzly Bear,Fine For Now,3UXYj62iqpmifH3rALUcpu,33,0.357,0.465,11,-8.999,0,0.0406,0.249,0.00529,0.0852,0.356,118.191,331107,3
146,Grizzly Bear,All We Ask,7HxXMjJ5CiZ8BkNpbZD0Nw,36,0.409,0.409,0,-10.826,0,0.0285,0.688,0.183,0.121,0.115,76.364,321680,4
147,Grizzly Bear,Southern Point,78ABg5C3xyIdanydlBRdoi,37,0.491,0.729,4,-8.826,0,0.0379,0.188,0.161,0.0884,0.364,96.994,302853,4
148,Car Seat Headrest,Fill in the Blank,1EALzILzmIPtRIvYyo6Lwm,0,0.339,0.829,9,-7.239,1,0.058,0.00736,1.26e-05,0.0596,0.5,162.798,244507,4
149,deadmau5,Ghosts 'n' Stuff - Original Instrumental Mix,5jM49b87WZK91R9mWCTlRq,31,0.796,0.444,8,-5.571,1,0.146,3.15e-05,0.855,0.591,0.684,128.034,370677,3
